auc	cohens_d	p_value	ci_lower	ci_upper	n_dep	n_healthy	feature	dataset	stat_type	p_adjusted	status
0.6480978260869565	0.2798835314032077	0.3253493013972056	0.5184615951643815	0.790926525198939	23	32	active_min_7d_mean	depresjon	mean	0.6262258092510631	DISCARD
0.5529891304347826	0.2997320403689372	0.27944111776447106	0.5033179347826088	0.6918521251475798	23	32	active_min_7d_std	depresjon	standard_deviation	0.603004517281227	DISCARD
0.5380434782608695	0.4574168912331664	0.1157684630738523	0.5015005136715662	0.701256452994421	23	32	active_min_7d_cv	depresjon	coefficient_of_variation	0.3532934131736527	DISCARD
0.5054347826086957	0.15416224119350755	0.6007984031936128	0.502620174287856	0.6571616541353383	23	32	active_min_7d_slope	depresjon	slope	0.7946043397076814	DISCARD
0.5416666666666667	0.06405164698090648	0.8502994011976048	0.5042483660130719	0.7018816572681705	21	32	active_min_7d_autocorr	depresjon	autocorrelation	0.9158552460296797	DISCARD
0.6589673913043479	0.2938160963967052	0.2654690618762475	0.5158488063660477	0.8024449035812674	23	32	active_min_14d_mean	depresjon	mean	0.5936853565596081	DISCARD
0.5951086956521738	0.4659497673452001	0.0998003992015968	0.5105507936507937	0.748626492702344	23	32	active_min_14d_std	depresjon	standard_deviation	0.3488811849984242	DISCARD
0.5230978260869565	0.43065296284615157	0.1437125748502994	0.501498399225672	0.6714792529330574	23	32	active_min_14d_cv	depresjon	coefficient_of_variation	0.42087254063301965	DISCARD
0.532608695652174	0.2309385010557892	0.4251497005988024	0.5052683792815372	0.6959325396825397	23	32	active_min_14d_slope	depresjon	slope	0.6950773777121083	DISCARD
0.5550595238095237	0.2772692475494002	0.3313373253493014	0.5028253968253968	0.6793986087836895	21	32	active_min_14d_autocorr	depresjon	autocorrelation	0.6262258092510631	DISCARD
0.5416666666666666	0.3968422426952249	0.5568862275449101	0.5104166666666666	1.0	3	16	active_min_21d_mean	depresjon	mean	0.7783750680457266	DISCARD
0.625	0.7859695124673113	0.22554890219560877	0.5	1.0	3	16	active_min_21d_std	depresjon	standard_deviation	0.5548502994011976	DISCARD
0.5833333333333334	0.5206587783301022	0.5329341317365269	0.5	1.0	3	16	active_min_21d_cv	depresjon	coefficient_of_variation	0.7736387689736804	DISCARD
0.5416666666666666	0.22234443857761782	0.7844311377245509	0.5	0.8235294117647058	3	16	active_min_21d_slope	depresjon	slope	0.8933799068529608	DISCARD
